yhat,lb,ub,AI,before_n,cite_n,model,discipline,month,,,,,
39.10287,8.144538,70.0612,5,5,,m2,astro,m6,,,,,
2.054961,1.256567,2.853355,0,,,m1,cond,m6,,,,,
3.516276,3.094223,3.938329,0.5,,,m1,cond,m6,,,,,
4.152375,3.730614,4.574136,1,,,m1,cond,m6,,,,,
4.635808,4.202702,5.068914,1.5,,,m1,cond,m6,,,,,
5.142385,4.649603,5.635166,2,,,m1,cond,m6,,,,,
5.700296,5.071035,6.329558,2.5,,,m1,cond,m6,,,,,
6.318251,5.474802,7.161699,3,,,m1,cond,m6,,,,,
7.003137,5.871797,8.134476,3.5,,,m1,cond,m6,,,,,
7.762256,6.268782,9.255729,4,,,m1,cond,m6,,,,,
8.603661,6.66863,10.53869,4.5,,,m1,cond,m6,,,,,
9.536271,7.07169,12.00085,5,,,m1,cond,m6,,,,,
1.663853,1.02499,2.302717,0,0,,m2,cond,m6,,,,,
6.774467,6.026213,7.522722,0,2,,m2,cond,m6,,,,,
22.00667,15.45893,28.5544,0,5,,m2,cond,m6,,,,,
2.937558,2.575099,3.300017,0.5,0,,m2,cond,m6,,,,,
7.335776,6.639453,8.0321,0.5,2,,m2,cond,m6,,,,,
23.83006,16.51701,31.14312,0.5,5,,m2,cond,m6,,,,,
3.544377,3.151231,3.937524,1,0,,m2,cond,m6,,,,,
7.943593,7.179157,8.70803,1,2,,m2,cond,m6,,,,,
25.80454,17.51213,34.09694,1,5,,m2,cond,m6,,,,,
3.908398,3.476455,4.34034,1.5,0,,m2,cond,m6,,,,,
8.601772,7.622841,9.580703,1.5,2,,m2,cond,m6,,,,,
27.94261,18.4339,37.45132,1.5,5,,m2,cond,m6,,,,,
4.244346,3.74111,4.747582,2,0,,m2,cond,m6,,,,,
9.314485,7.994489,10.63448,2,2,,m2,cond,m6,,,,,
30.25784,19.27413,41.24156,2,5,,m2,cond,m6,,,,,
4.598062,3.96637,5.229754,2.5,0,,m2,cond,m6,,,,,
10.08625,8.32031,11.85219,2.5,2,,m2,cond,m6,,,,,
32.7649,20.02513,45.50467,2.5,5,,m2,cond,m6,,,,,
4.979386,4.160878,5.797894,3,0,,m2,cond,m6,,,,,
10.92196,8.613676,13.23025,3,2,,m2,cond,m6,,,,,
35.47969,20.6784,50.28097,3,5,,m2,cond,m6,,,,,
5.392018,4.332867,6.451169,3.5,0,,m2,cond,m6,,,,,
11.82692,8.879236,14.7746,3.5,2,,m2,cond,m6,,,,,
38.41941,21.22362,55.6152,3.5,5,,m2,cond,m6,,,,,
5.838792,4.487214,7.19037,4,0,,m2,cond,m6,,,,,
12.80686,9.117007,16.4967,4,2,,m2,cond,m6,,,,,
41.60271,21.64809,61.55732,4,5,,m2,cond,m6,,,,,
6.322576,4.625778,8.019373,4.5,0,,m2,cond,m6,,,,,
13.86799,9.32439,18.41159,4.5,2,,m2,cond,m6,,,,,
45.04977,21.93637,68.16316,4.5,5,,m2,cond,m6,,,,,
6.846443,4.748454,8.944431,5,0,,m2,cond,m6,,,,,
15.01704,9.497067,20.53701,5,2,,m2,cond,m6,,,,,
48.78243,22.06999,75.49488,5,5,,m2,cond,m6,,,,,
2.608337,1.645825,3.57085,0.5,,0,m3,hep-ph,m6,,,,,
6.475382,4.768672,8.182093,4,,0,m3,hep-ph,m6,,,,,
3.569786,3.03234,4.107233,0.5,,3,m3,hep-ph,m6,,,,,
6.755212,4.997612,8.512813,4,,3,m3,hep-ph,m6,,,,,
3.993221,3.335433,4.65101,0.5,,6,m3,hep-ph,m6,,,,,
7.046322,4.687872,9.404773,4,,6,m3,hep-ph,m6,,,,,
4.465704,3.571999,5.359408,0.5,,9,m3,hep-ph,m6,,,,,
7.349898,4.043083,10.65671,4,,9,m3,hep-ph,m6,,,,,
4.993023,3.759196,6.22685,0.5,,12,m3,hep-ph,m6,,,,,
7.666544,3.06371,12.26938,4,,12,m3,hep-ph,m6,,,,,
5.581643,3.907856,7.255431,0.5,,15,m3,hep-ph,m6,,,,,
7.996831,2.2227,13.77096,4,,15,m3,hep-ph,m6,,,,,
4.771847,2.922518,6.621176,0.5,,0,m3,astro,m6,,,,,
18.41232,8.944087,27.88054,4,,0,m3,astro,m6,,,,,
5.723378,3.815014,7.631742,0.5,,3,m3,astro,m6,,,,,
18.22559,9.856522,26.59467,4,,3,m3,astro,m6,,,,,
6.863292,4.866032,8.860552,0.5,,6,m3,astro,m6,,,,,
18.04068,10.67706,25.40429,4,,6,m3,astro,m6,,,,,
8.228762,6.039634,10.41789,0.5,,9,m3,astro,m6,,,,,
17.8576,11.37785,24.33735,4,,9,m3,astro,m6,,,,,
9.864289,7.263767,12.46481,0.5,,12,m3,astro,m6,,,,,
17.67637,11.9199,23.43284,4,,12,m3,astro,m6,,,,,
11.82314,8.459973,15.18631,0.5,,15,m3,astro,m6,,,,,
17.49697,12.25468,22.73926,4,,15,m3,astro,m6,,,,,
3.254441,2.903641,3.605242,0.5,,0,m3,cond,m6,,,,,
7.322672,6.225304,8.420041,4,,0,m3,cond,m6,,,,,
3.762509,3.440532,4.084486,0.5,,3,m3,cond,m6,,,,,
7.839868,6.551837,9.127898,4,,3,m3,cond,m6,,,,,
4.349893,4.016565,4.683221,0.5,,6,m3,cond,m6,,,,,
8.393592,6.846531,9.940654,4,,6,m3,cond,m6,,,,,
5.028977,4.600311,5.457643,0.5,,9,m3,cond,m6,,,,,
8.986426,7.114371,10.85848,4,,9,m3,cond,m6,,,,,
5.814076,5.190472,6.43768,0.5,,12,m3,cond,m6,,,,,
9.621131,7.359277,11.88299,4,,12,m3,cond,m6,,,,,
6.721741,5.805326,7.638156,0.5,,15,m3,cond,m6,,,,,
10.30067,7.583454,13.01788,4,,15,m3,cond,m6,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
