yhat,lb,ub,AI,before_n,cite_n,model,discipline,month,,,,,
4.774452,4.059003,5.489901,1,,,m1,cond,full,,,,,
5.363065,4.616659,6.109472,1.5,,,m1,cond,full,,,,,
6.000321,5.197675,6.802967,2,,,m1,cond,full,,,,,
6.710413,5.782866,7.637959,2.5,,,m1,cond,full,,,,,
7.504191,6.362093,8.64629,3,,,m1,cond,full,,,,,
8.391825,6.93627,9.84738,3.5,,,m1,cond,full,,,,,
9.384447,7.510549,11.25835,4,,,m1,cond,full,,,,,
10.49448,8.089264,12.8997,4.5,,,m1,cond,full,,,,,
11.73581,8.67438,14.79725,5,,,m1,cond,full,,,,,
2.424111,1.839745,3.008478,0,0,,m2,cond,full,,,,,
5.605108,4.735831,6.474384,0,1,,m2,cond,full,,,,,
33.24392,23.31385,43.17399,0,5,,m2,cond,full,,,,,
3.699625,3.141991,4.25726,0.5,0,,m2,cond,full,,,,,
6.189113,5.390638,6.987588,0.5,1,,m2,cond,full,,,,,
36.70766,25.63697,47.77834,0.5,5,,m2,cond,full,,,,,
4.335687,3.673486,4.997889,1,0,,m2,cond,full,,,,,
6.833967,6.087977,7.579956,1,1,,m2,cond,full,,,,,
40.53229,28.01515,53.04942,1,5,,m2,cond,full,,,,,
4.828816,4.1249,5.532733,1.5,0,,m2,cond,full,,,,,
7.546009,6.79648,8.295538,1.5,1,,m2,cond,full,,,,,
44.75541,30.42947,59.08135,1.5,5,,m2,cond,full,,,,,
5.338247,4.582747,6.093748,2,0,,m2,cond,full,,,,,
8.33224,7.478631,9.185849,2,1,,m2,cond,full,,,,,
49.41855,32.86295,65.97415,2,5,,m2,cond,full,,,,,
5.895398,5.038509,6.752287,2.5,0,,m2,cond,full,,,,,
9.20039,8.119453,10.28133,2.5,1,,m2,cond,full,,,,,
54.56755,35.29978,73.83532,2.5,5,,m2,cond,full,,,,,
6.509792,5.483803,7.535781,3,0,,m2,cond,full,,,,,
10.15899,8.729837,11.58815,3,1,,m2,cond,full,,,,,
60.25303,37.72395,82.78212,3,5,,m2,cond,full,,,,,
7.188079,5.917951,8.458207,3.5,0,,m2,cond,full,,,,,
11.21748,9.32519,13.10976,3.5,1,,m2,cond,full,,,,,
66.53089,40.11772,92.94407,3.5,5,,m2,cond,full,,,,,
7.93702,6.344018,9.530023,4,0,,m2,cond,full,,,,,
12.38624,9.915147,14.85734,4,1,,m2,cond,full,,,,,
73.46286,42.46017,104.4655,4,5,,m2,cond,full,,,,,
8.763992,6.765084,10.7629,4.5,0,,m2,cond,full,,,,,
13.67679,10.50373,16.84984,4.5,1,,m2,cond,full,,,,,
81.11707,44.72594,117.5082,4.5,5,,m2,cond,full,,,,,
9.677127,7.182774,12.17148,5,0,,m2,cond,full,,,,,
15.10179,11.09119,19.1124,5,1,,m2,cond,full,,,,,
89.56879,46.88404,132.2535,5,5,,m2,cond,full,,,,,
4.026017,3.357951,4.694082,0.5,,0,m3,hep-ph,full,,,,,
5.318268,4.713381,5.923155,2,,0,m3,hep-ph,full,,,,,
9.280247,4.616493,13.944,5,,0,m3,hep-ph,full,,,,,
4.244828,3.593656,4.895999,0.5,,200,m3,hep-ph,full,,,,,
5.659666,5.093197,6.226135,2,,200,m3,hep-ph,full,,,,,
10.06125,5.707672,14.41484,5,,200,m3,hep-ph,full,,,,,
4.475531,3.825614,5.125449,0.5,,400,m3,hep-ph,full,,,,,
6.022979,5.470516,6.575442,2,,400,m3,hep-ph,full,,,,,
10.90799,6.802312,15.01367,5,,400,m3,hep-ph,full,,,,,
4.718774,4.048109,5.389438,0.5,,600,m3,hep-ph,full,,,,,
6.409614,5.827762,6.991467,2,,600,m3,hep-ph,full,,,,,
11.82599,7.800677,15.85129,5,,600,m3,hep-ph,full,,,,,
4.975236,4.256492,5.69398,0.5,,800,m3,hep-ph,full,,,,,
6.821069,6.173211,7.468927,2,,800,m3,hep-ph,full,,,,,
12.82124,8.572865,17.06961,5,,800,m3,hep-ph,full,,,,,
5.245637,4.448416,6.042857,0.5,,1000,m3,hep-ph,full,,,,,
7.258936,6.498509,8.019364,2,,1000,m3,hep-ph,full,,,,,
13.90025,9.015628,18.78487,5,,1000,m3,hep-ph,full,,,,,
5.530733,4.623928,6.437539,0.5,,1200,m3,hep-ph,full,,,,,
7.724912,6.807629,8.642195,2,,1200,m3,hep-ph,full,,,,,
15.07007,9.100202,21.03993,5,,1200,m3,hep-ph,full,,,,,
5.831325,4.784535,6.878115,0.5,,1400,m3,hep-ph,full,,,,,
8.2208,7.105717,9.335884,2,,1400,m3,hep-ph,full,,,,,
16.33833,8.849018,23.82765,5,,1400,m3,hep-ph,full,,,,,
6.148254,4.932141,7.364366,0.5,,1600,m3,hep-ph,full,,,,,
8.748521,7.396878,10.10016,2,,1600,m3,hep-ph,full,,,,,
17.71334,8.289147,27.13753,5,,1600,m3,hep-ph,full,,,,,
6.482407,5.068394,7.89642,0.5,,1800,m3,hep-ph,full,,,,,
9.310118,7.683794,10.93644,2,,1800,m3,hep-ph,full,,,,,
19.20406,7.432072,30.97604,5,,1800,m3,hep-ph,full,,,,,
6.834722,5.194459,8.474985,0.5,,2000,m3,hep-ph,full,,,,,
9.907766,7.967985,11.84755,2,,2000,m3,hep-ph,full,,,,,
20.82023,6.2727,35.36777,5,,2000,m3,hep-ph,full,,,,,
7.206184,5.311019,9.101349,0.5,,2200,m3,hep-ph,full,,,,,
10.54378,8.250148,12.83741,2,,2200,m3,hep-ph,full,,,,,
22.57242,4.792988,40.35186,5,,2200,m3,hep-ph,full,,,,,
7.597835,5.418453,9.777218,0.5,,2400,m3,hep-ph,full,,,,,
11.22062,8.530392,13.91085,2,,2400,m3,hep-ph,full,,,,,
24.47208,2.964992,45.97916,5,,2400,m3,hep-ph,full,,,,,
8.010773,5.517925,10.50362,0.5,,2600,m3,hep-ph,full,,,,,
11.94091,8.808406,15.07341,2,,2600,m3,hep-ph,full,,,,,
26.5316,0.7526791,52.31052,5,,2600,m3,hep-ph,full,,,,,
8.446153,5.627621,11.26468,0.5,,2800,m3,hep-ph,full,,,,,
12.70744,9.083542,16.33133,2,,2800,m3,hep-ph,full,,,,,
28.76445,-1.887196,59.41609,5,,2800,m3,hep-ph,full,,,,,
8.905196,5.966326,11.84407,0.5,,3000,m3,hep-ph,full,,,,,
13.52317,9.354875,17.69147,2,,3000,m3,hep-ph,full,,,,,
31.18521,-5.004801,67.37521,5,,3000,m3,hep-ph,full,,,,,
8.116656,6.222908,10.0104,0.5,,0,m3,astro,full,,,,,
10.28819,8.231591,12.34479,2,,0,m3,astro,full,,,,,
14.91507,11.44023,18.38991,5,,0,m3,astro,full,,,,,
8.280717,6.391884,10.16955,0.5,,200,m3,astro,full,,,,,
10.45027,8.394412,12.50614,2,,200,m3,astro,full,,,,,
15.1342,11.66445,18.60396,5,,200,m3,astro,full,,,,,
8.444523,6.559458,10.32959,0.5,,400,m3,astro,full,,,,,
10.61331,8.558677,12.66795,2,,400,m3,astro,full,,,,,
15.35653,11.89247,18.82058,5,,400,m3,astro,full,,,,,
8.608226,6.726148,10.4903,0.5,,600,m3,astro,full,,,,,
10.7776,8.724705,12.8305,2,,600,m3,astro,full,,,,,
15.58209,12.12437,19.03982,5,,600,m3,astro,full,,,,,
8.771974,6.892423,10.65153,0.5,,800,m3,astro,full,,,,,
10.94339,8.892737,12.99404,2,,800,m3,astro,full,,,,,
15.81096,12.36018,19.26174,5,,800,m3,astro,full,,,,,
8.935912,7.058697,10.81313,0.5,,1000,m3,astro,full,,,,,
11.11088,9.062959,13.15879,2,,1000,m3,astro,full,,,,,
16.04318,12.59997,19.48639,5,,1000,m3,astro,full,,,,,
9.100183,7.225337,10.97503,0.5,,1200,m3,astro,full,,,,,
11.28025,9.235513,13.32498,2,,1200,m3,astro,full,,,,,
16.27881,12.84378,19.71384,5,,1200,m3,astro,full,,,,,
9.264927,7.392661,11.13719,0.5,,1400,m3,astro,full,,,,,
11.45165,9.41051,13.49279,2,,1400,m3,astro,full,,,,,
16.51789,13.09165,19.94414,5,,1400,m3,astro,full,,,,,
9.430277,7.560944,11.29961,0.5,,1600,m3,astro,full,,,,,
11.62521,9.588037,13.66238,2,,1600,m3,astro,full,,,,,
16.76049,13.34362,20.17736,5,,1600,m3,astro,full,,,,,
9.596367,7.730419,11.46232,0.5,,1800,m3,astro,full,,,,,
11.80104,9.768163,13.83391,2,,1800,m3,astro,full,,,,,
17.00665,13.59975,20.41355,5,,1800,m3,astro,full,,,,,
9.763323,7.901284,11.62536,0.5,,2000,m3,astro,full,,,,,
11.97924,9.950941,14.00753,2,,2000,m3,astro,full,,,,,
17.25642,13.86005,20.65278,5,,2000,m3,astro,full,,,,,
9.931268,8.073702,11.78883,0.5,,2200,m3,astro,full,,,,,
12.15989,10.13641,14.18337,2,,2200,m3,astro,full,,,,,
17.50986,14.12458,20.89513,5,,2200,m3,astro,full,,,,,
10.10032,8.247804,11.95284,0.5,,2400,m3,astro,full,,,,,
12.34308,10.32461,14.36156,2,,2400,m3,astro,full,,,,,
17.76702,14.39336,21.14068,5,,2400,m3,astro,full,,,,,
10.2706,8.423696,12.1175,0.5,,2600,m3,astro,full,,,,,
12.52888,10.51555,14.54221,2,,2600,m3,astro,full,,,,,
18.02796,14.66642,21.38949,5,,2600,m3,astro,full,,,,,
10.44221,8.601455,12.28296,0.5,,2800,m3,astro,full,,,,,
12.71735,10.70925,14.72545,2,,2800,m3,astro,full,,,,,
18.29273,14.94379,21.64166,5,,2800,m3,astro,full,,,,,
10.61526,8.781133,12.44938,0.5,,3000,m3,astro,full,,,,,
12.90856,10.90573,14.91139,2,,3000,m3,astro,full,,,,,
18.56138,15.2255,21.89727,5,,3000,m3,astro,full,,,,,
3.395488,2.889813,3.901164,0.5,,0,m3,cond,full,,,,,
4.769664,4.286728,5.2526,2,,0,m3,cond,full,,,,,
9.411499,6.588653,12.23435,5,,0,m3,cond,full,,,,,
3.7841,3.273185,4.295015,0.5,,200,m3,cond,full,,,,,
5.275687,4.776753,5.774621,2,,200,m3,cond,full,,,,,
10.25444,7.45499,13.05389,5,,200,m3,cond,full,,,,,
4.217187,3.691958,4.742416,0.5,,400,m3,cond,full,,,,,
5.835395,5.307271,6.363519,2,,400,m3,cond,full,,,,,
11.17288,8.348212,13.99754,5,,400,m3,cond,full,,,,,
4.699841,4.143252,5.25643,0.5,,600,m3,cond,full,,,,,
6.454484,5.877437,7.03153,2,,600,m3,cond,full,,,,,
12.17358,9.238706,15.10845,5,,600,m3,cond,full,,,,,
5.237735,4.623108,5.852362,0.5,,800,m3,cond,full,,,,,
7.139253,6.486894,7.791612,2,,800,m3,cond,full,,,,,
13.2639,10.09305,16.43475,5,,800,m3,cond,full,,,,,
5.83719,5.128346,6.546034,0.5,,1000,m3,cond,full,,,,,
7.896671,7.136724,8.656617,2,,1000,m3,cond,full,,,,,
14.45188,10.88264,18.02112,5,,1000,m3,cond,full,,,,,
6.505252,5.6582,7.352304,0.5,,1200,m3,cond,full,,,,,
8.734444,7.829759,9.63913,2,,1200,m3,cond,full,,,,,
15.74626,11.59023,19.9023,5,,1200,m3,cond,full,,,,,
7.249774,6.214441,8.285106,0.5,,1400,m3,cond,full,,,,,
9.661099,8.570215,10.75198,2,,1400,m3,cond,full,,,,,
17.15658,12.20934,22.10381,5,,1400,m3,cond,full,,,,,
8.079505,6.80035,9.358661,0.5,,1600,m3,cond,full,,,,,
10.68606,9.363131,12.009,2,,1600,m3,cond,full,,,,,
18.6932,12.73897,24.64744,5,,1600,m3,cond,full,,,,,
9.004199,7.41966,10.58874,0.5,,1800,m3,cond,full,,,,,
11.81977,10.21394,13.4256,2,,1800,m3,cond,full,,,,,
20.36746,13.17845,27.55647,5,,1800,m3,cond,full,,,,,
10.03472,8.075962,11.99348,0.5,,2000,m3,cond,full,,,,,
13.07375,11.12825,15.01926,2,,2000,m3,cond,full,,,,,
22.19167,13.52464,30.85871,5,,2000,m3,cond,full,,,,,
11.18319,8.772491,13.59389,0.5,,2200,m3,cond,full,,,,,
14.46077,12.11181,16.80974,2,,2200,m3,cond,full,,,,,
24.17927,13.77096,34.58757,5,,2200,m3,cond,full,,,,,
12.4631,9.512072,15.41413,0.5,,2400,m3,cond,full,,,,,
15.99495,13.17048,18.81941,2,,2400,m3,cond,full,,,,,
26.34488,13.90723,38.78253,5,,2400,m3,cond,full,,,,,
13.88949,10.29713,17.48185,0.5,,2600,m3,cond,full,,,,,
17.69188,14.3103,21.07346,2,,2600,m3,cond,full,,,,,
28.70446,13.91973,43.48918,5,,2600,m3,cond,full,,,,,
15.47913,11.12968,19.82859,0.5,,2800,m3,cond,full,,,,,
19.56885,15.53749,23.60021,2,,2800,m3,cond,full,,,,,
31.27537,13.7913,48.75944,5,,2800,m3,cond,full,,,,,
17.25071,12.01132,22.4901,0.5,,3000,m3,cond,full,,,,,
21.64495,16.85848,26.43141,2,,3000,m3,cond,full,,,,,
34.07655,13.50127,54.65182,5,,3000,m3,cond,full,,,,,
2.626143,1.653497,3.598788,0,,,m1,hep-ph,m6,,,,,
4.532043,3.264764,5.799322,0.5,,,m1,hep-ph,m6,,,,,
5.547671,4.351667,6.743675,1,,,m1,hep-ph,m6,,,,,
6.39699,5.321315,7.472666,1.5,,,m1,hep-ph,m6,,,,,
7.316318,6.082531,8.550104,2,,,m1,hep-ph,m6,,,,,
8.358779,6.539484,10.17807,2.5,,,m1,hep-ph,m6,,,,,
9.548433,6.763541,12.33333,3,,,m1,hep-ph,m6,,,,,
10.9072,6.804198,15.01021,3.5,,,m1,hep-ph,m6,,,,,
12.4593,6.659448,18.25915,4,,,m1,hep-ph,m6,,,,,
14.23226,6.300078,22.16443,4.5,,,m1,hep-ph,m6,,,,,
16.2575,5.680096,26.83491,5,,,m1,hep-ph,m6,,,,,
