yhat,lb,ub,AI,before_n,cite_n,model,discipline,month,,,,,
4.10528,3.482976,4.727584,0.5,,,m1,cond,full,,,,,
4.778826,4.060312,5.49734,1,,,m1,cond,full,,,,,
5.365251,4.614562,6.115941,1.5,,,m1,cond,full,,,,,
5.999604,5.191634,6.807574,2,,,m1,cond,full,1.124819947,,,,
6.70609,5.772713,7.639468,2.5,,,m1,cond,full,0.457647916,,,,
7.495429,6.347869,8.642988,3,,,m1,cond,full,0.118801546,,,,
8.377635,6.917919,9.837351,3.5,,,m1,cond,full,,,,,
9.363671,7.487832,11.23951,4,,,m1,cond,full,,,,,
10.46576,8.061821,12.8697,4.5,,,m1,cond,full,,,,,
11.69757,8.641801,14.75334,5,,,m1,cond,full,,,,,
2.407707,1.824991,2.990423,0,0,,m2,cond,full,,,,,
8.837202,7.617632,10.05677,0,2,,m2,cond,full,,,,,
34.0427,23.8623,44.2231,0,5,,m2,cond,full,,,,,
3.70049,3.142889,4.25809,0.5,0,,m2,cond,full,,,,,
9.752902,8.598157,10.90765,0.5,2,,m2,cond,full,,,,,
37.57017,26.21158,48.92876,0.5,5,,m2,cond,full,,,,,
4.336814,3.672301,5.001327,1,0,,m2,cond,full,,,,,
10.76349,9.600079,11.92689,1,2,,m2,cond,full,,,,,
41.46315,28.61169,54.3146,1,5,,m2,cond,full,,,,,
4.827414,4.119938,5.534891,1.5,0,,m2,cond,full,,,,,
11.87879,10.57544,13.18213,1.5,2,,m2,cond,full,,,,,
45.75951,31.04343,60.47559,1.5,5,,m2,cond,full,,,,,
5.333835,4.573875,6.093794,2,0,,m2,cond,full,,,,,
13.10965,11.49951,14.7198,2,2,,m2,cond,full,,,,,
50.50106,33.48955,67.51256,2,5,,m2,cond,full,,,,,
5.887445,5.025278,6.749611,2.5,0,,m2,cond,full,,,,,
14.46806,12.38031,16.55581,2.5,2,,m2,cond,full,,,,,
55.73392,35.93396,75.53387,2.5,5,,m2,cond,full,,,,,
6.497633,5.465786,7.529479,3,0,,m2,cond,full,,,,,
15.96722,13.23635,18.6981,3,2,,m2,cond,full,,,,,
61.509,38.36023,84.65777,3,5,,m2,cond,full,,,,,
7.17093,5.894725,8.447135,3.5,0,,m2,cond,full,,,,,
17.62173,14.08109,21.16237,3.5,2,,m2,cond,full,,,,,
67.88249,40.75009,95.0149,3.5,5,,m2,cond,full,,,,,
7.913977,6.315099,9.512855,4,0,,m2,cond,full,,,,,
19.44767,14.92086,23.97449,4,2,,m2,cond,full,,,,,
74.9164,43.08192,106.7509,4,5,,m2,cond,full,,,,,
8.734014,6.729909,10.73812,4.5,0,,m2,cond,full,,,,,
21.46282,15.75666,27.16898,4.5,2,,m2,cond,full,,,,,
82.67915,45.32956,120.0287,4.5,5,,m2,cond,full,,,,,
9.639023,7.14072,12.13733,5,0,,m2,cond,full,,,,,
23.68677,16.58565,30.78789,5,2,,m2,cond,full,,,,,
91.24627,47.46107,135.0315,5,5,,m2,cond,full,,,,,
4.171942,3.545248,4.798636,0.5,,0,m3,hep-ph,full,,,,,
8.568811,6.125959,11.01166,4,,0,m3,hep-ph,full,,,,,
4.803686,4.136876,5.470497,0.5,,3,m3,hep-ph,full,,,,,
10.34277,7.934305,12.75123,4,,3,m3,hep-ph,full,,,,,
5.531094,4.621657,6.440531,0.5,,6,m3,hep-ph,full,,,,,
12.48398,8.568734,16.39922,4,,6,m3,hep-ph,full,,,,,
6.368651,5.004768,7.732534,0.5,,9,m3,hep-ph,full,,,,,
15.06847,8.103119,22.03383,4,,9,m3,hep-ph,full,,,,,
7.333037,5.314764,9.35131,0.5,,12,m3,hep-ph,full,,,,,
18.18802,6.682508,29.69353,4,,12,m3,hep-ph,full,,,,,
8.443457,5.559398,11.32752,0.5,,15,m3,hep-ph,full,,,,,
21.95339,4.147547,39.75924,4,,15,m3,hep-ph,full,,,,,
7.642899,5.613125,9.672672,0.5,,0,m3,astro,full,,,,,
12.61621,9.848949,15.38347,4,,0,m3,astro,full,,,,,
8.533134,6.569373,10.4969,0.5,,3,m3,astro,full,,,,,
13.71201,10.94987,16.47416,4,,3,m3,astro,full,,,,,
9.445242,7.53398,11.3565,0.5,,6,m3,astro,full,,,,,
14.90241,12.16245,17.64237,4,,6,m3,astro,full,,,,,
10.39731,8.548526,12.2461,0.5,,9,m3,astro,full,,,,,
16.19604,13.49611,18.89596,4,,9,m3,astro,full,,,,,
11.4055,9.623623,13.18737,0.5,,12,m3,astro,full,,,,,
17.60194,14.95965,20.24423,4,,12,m3,astro,full,,,,,
12.48411,10.74387,14.22434,0.5,,15,m3,astro,full,,,,,
19.12987,16.56065,21.69909,4,,15,m3,astro,full,,,,,
3.96862,3.44739,4.48985,0.5,,0,m3,cond,full,,,,,
8.616539,6.976782,10.2563,4,,0,m3,cond,full,,,,,
4.585901,4.037773,5.13403,0.5,,3,m3,cond,full,,,,,
9.698132,7.975524,11.42074,4,,3,m3,cond,full,,,,,
5.299195,4.680627,5.917762,0.5,,6,m3,cond,full,,,,,
10.91549,8.981543,12.84944,4,,6,m3,cond,full,,,,,
6.123434,5.366804,6.880064,0.5,,9,m3,cond,full,,,,,
12.28566,9.963099,14.60822,4,,9,m3,cond,full,,,,,
7.075876,6.095083,8.056669,0.5,,12,m3,cond,full,,,,,
13.82782,10.90779,16.74785,4,,12,m3,cond,full,,,,,
8.176461,6.871785,9.481138,0.5,,15,m3,cond,full,,,,,
15.56356,11.81684,19.31028,4,,15,m3,cond,full,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
